Name,NetWorth,Country,Source,Rank
Giuseppe De'Longhi & family,5200000000,Italy,coffee makers,539
Frank Lowy,5200000000,Australia,shopping malls,539
Joe Mansueto,5200000000,United States,investment research,539
Akio Nitori,5200000000,Japan,home furnishings,539
Gary Rollins,5200000000,United States,pest control,539
Ruan Hongliang & family,5200000000,China,glass,539
Teddy Sagi,5200000000,Israel,gambling software,539
Neil Shen,5200000000,China,venture capital,539
David Velez,5200000000,Colombia,fintech,539
Wong Man Li,5200000000,Hong Kong,furniture,539
Robert Bass,5100000000,United States,"oil, investments",550
Pierre Chen,5100000000,Taiwan,electronics,550
Mahendra Choksi & family,5100000000,India,paints,550
Gustavo Denegri,5100000000,Italy,biotech,550
Reed Hastings,5100000000,United States,Netflix,550
Michael Herz,5100000000,Germany,coffee,550
Wolfgang Herz,5100000000,Germany,coffee,550
Patrick Lee,5100000000,Hong Kong,paper,550
Lee Yeow Chor & Yeow Seng,5100000000,Malaysia,"palm oil, property",550
Theo Mueller,5100000000,Germany,dairy,550
Wu Guanjiang & family,5100000000,China,pharmaceuticals,550
Bernard Broermann,5000000000,Germany,hospitals,561
Jason Chang,5000000000,Singapore,electronics,561
Joshua Harris,5000000000,United States,private equity,561
Vikram Lal & family,5000000000,India,motorcycles,561
Lin Xiucheng & family,5000000000,China,electronics,561
Pankaj Patel,5000000000,India,pharmaceuticals,561
"Enrique Razon, Jr.",5000000000,Philippines,ports,561
"Walter Scott, Jr. & family",5000000000,United States,"utilities, telecom",561
Charles Simonyi,5000000000,United States,Microsoft,561
Kate Wang,5000000000,China,e-cigarettes,561
Daniel Ziff,5000000000,United States,investments,561
Dirk Ziff,5000000000,United States,investments,561
Robert Ziff,5000000000,United States,investments,561
Stephen Bisciotti,4900000000,United States,"staffing, Baltimore Ravens",574
Chen Dongsheng,4900000000,China,insurance,574
Charles B. Johnson,4900000000,United States,money management,574
Marc Ladreit de Lacharriere,4900000000,France,finance,574
Joe Lewis,4900000000,United Kingdom,investments,574
Lin Li,4900000000,China,investments,574
Karen Pritzker,4900000000,United States,"hotels, investments",574
Abdulsamad Rabiu,4900000000,Nigeria,"cement, sugar",574
Mark Scheinberg,4900000000,Canada,online gambling,574
Howard Schultz,4900000000,United States,Starbucks,574
Yasumitsu Shigeta,4900000000,Japan,mobile phone retailer,574
Thomas Siebel,4900000000,United States,business software,574
Peter Thiel,4900000000,United States,Facebook,574
Chip Wilson,4900000000,Canada,Lululemon,574
Zhang Fan,4900000000,China,touch screens,574
Pierre Bellon & family,4800000000,France,food services,589
Richard Branson,4800000000,United Kingdom,Virgin,589
Huang Yi,4800000000,Hong Kong,car dealerships,589
Bidzina Ivanishvili,4800000000,Georgia,investments,589
"Edward Johnson, IV.",4800000000,United States,money management,589
Elizabeth Johnson,4800000000,United States,money management,589
Ted Lerner & family,4800000000,United States,real estate,589
Lin Shu-hong,4800000000,Taiwan,petrochemicals,589
Yuri Milner,4800000000,Israel,tech investments,589
Issad Rebrab & family,4800000000,Algeria,food,589
Thomas Schmidheiny,4800000000,Switzerland,cement,589
Chairul Tanjung,4800000000,Indonesia,diversified,589
Alan Trefler,4800000000,United States,software,589
Radovan Vitek,4800000000,Czechia,real estate,589
Frank Wang,4800000000,China,drones,589
Wang Xicheng & family,4800000000,China,tires,589
Wang Zhendong,4800000000,China,education,589
"John, Alan & Bruce Wilson",4800000000,Australia,retailing,589
M.A. Yusuff Ali,4800000000,India,retail,589
Maria Fernanda Amorim & family,4700000000,Portugal,"energy, investments",608
Dona Bertarelli,4700000000,Switzerland,biotech,608
Hong Jie,4700000000,China,paint,608
Nathan Kirsh,4700000000,Eswatini (Swaziland),"retail, real estate",608
Ken Langone,4700000000,United States,investments,608
Michael Pieper,4700000000,Switzerland,kitchen appliances,608
Richard Schulze,4700000000,United States,Best Buy,608
Eric Smidt,4700000000,United States,hardware stores,608
Tim Sweeney,4700000000,United States,video games,608
Tang Shing-bor,4700000000,Hong Kong,real estate,608
Oleg Tinkov,4700000000,Russia,banking,608
Mark Walter,4700000000,United States,finance,608
Wong Luen Hei,4700000000,China,building materials,608
Zhou Bajin,4700000000,China,auto parts,608
Patrizio Bertelli,4600000000,Italy,luxury goods,622
Bert Beveridge,4600000000,United States,vodka,622
Martin & Olivier Bouygues,4600000000,France,"construction, media",622
Chen Lip Keong,4600000000,Malaysia,"casinos, property, energy",622
Dong Fan,4600000000,China,medical devices,622
Daniel Ek,4600000000,Sweden,Spotify,622
Tilman Fertitta,4600000000,United States,"Houston Rockets, entertainment",622
Luis Frias,4600000000,Brazil,mobile payments,622
Peter Gassner,4600000000,United States,software,622
Vladimir Kim,4600000000,Kazakhstan,mining,622
Li Weiguo,4600000000,China,construction materials,622
Denis O'Brien,4600000000,Ireland,telecom,622
Miuccia Prada,4600000000,Italy,luxury goods,622
"Robert Rich, Jr.",4600000000,United States,frozen foods,622
Abhay Vakil & family,4600000000,India,paints,622
Paul-Heinz Wesjohann & family,4600000000,Germany,chicken processing,622
Ron Baron,4500000000,United States,money management,638
Andre Esteves,4500000000,Brazil,banking,638
Jonathan Gray,4500000000,United States,investments,638
Hu Baifan,4500000000,China,pharmaceuticals,638
Viatcheslav Kantor,4500000000,Russia,"fertilizer, real estate",638
Min Kao & family,4500000000,United States,navigation equipment,638
Friedrich Knapp,4500000000,Germany,fashion retail,638
Richard Li,4500000000,Hong Kong,telecom,638
Rudolf Maag,4500000000,Switzerland,medical devices,638
Miao Hangen,4500000000,China,"textiles, petrochemicals",638
Sami Mnaymneh,4500000000,United States,private equity,638
Igor Olenicoff,4500000000,United States,real estate,638
Sergei Popov,4500000000,Russia,banking,638
Thomas Pritzker,4500000000,United States,"hotels, investments",638
"Julian Robertson, Jr.",4500000000,United States,hedge funds,638
Tony Tamer,4500000000,United States,private equity,638
Zhu Baoguo & family,4500000000,China,pharmaceuticals,638
Shari Arison,4400000000,Israel,Carnival Cruises,655
Orlando Bravo,4400000000,United States,private equity,655
Garrett Camp,4400000000,Canada,Uber,655
Nick Caporella,4400000000,United States,beverages,655
Mark Cuban,4400000000,United States,"online media, Dallas Mavericks",655
Yakir Gabay,4400000000,Cyprus,real estate,655
Erman Ilicak,4400000000,Turkey,construction,655
Gustav Magnar Witzoe,4400000000,Norway,fish farming,655
Michael Minhong Yu,4400000000,China,education,655
Zhang Daocai,4400000000,China,valves,655
Stéphane Bancel,4300000000,France,biotech,665
Ralph Dommermuth,4300000000,Germany,internet service provider,665
Thomas Hagen,4300000000,United States,insurance,665
Pansy Ho,4300000000,Hong Kong,casinos,665
Rakesh Jhunjhunwala,4300000000,India,investments,665
Lee Yin Yee,4300000000,China,glass,665
Eric Lefkofsky,4300000000,United States,Groupon,665
Edwin Leong,4300000000,Hong Kong,real estate,665
Pawan Munjal & family,4300000000,India,motorcycles,665
Antony Ressler,4300000000,United States,finance,665
Paul Singer,4300000000,United States,hedge funds,665
Kerry Stokes,4300000000,Australia,"construction equipment, media",665
Steven Udvar-Hazy,4300000000,United States,aircraft leasing,665
Takao Yasuda,4300000000,Japan,retail,665
Ye Chenghai & family,4300000000,Hong Kong,pharmaceuticals,665
Alain Bouchard,4200000000,Canada,retail,680
Rick Caruso,4200000000,United States,real estate,680
Scott Cook,4200000000,United States,software,680
Barry Diller,4200000000,United States,online media,680
Traudl Engelhorn & family,4200000000,Germany,"pharmaceuticals, medical equipment",680
Fang Wei,4200000000,China,steel,680
Fu Liquan & family,4200000000,China,surveillance equipment,680
Luca Garavoglia,4200000000,Italy,spirits,680
Tom Golisano,4200000000,United States,payroll services,680
Peter Hargreaves,4200000000,United Kingdom,financial services,680
Bertil Hult,4200000000,Sweden,education,680
Ray Lee Hunt,4200000000,United States,"oil, real estate",680
James Irving,4200000000,Canada,diversified,680
Martin Lau,4200000000,Hong Kong,e-commerce,680
Li Li,4200000000,China,healthcare,680
Liu Fangyi,4200000000,China,medical equipment,680
Luo Liguo & family,4200000000,China,chemicals,680
Pan Laican,4200000000,China,soy sauce,680
Juan Roig,4200000000,Spain,supermarkets,680
Leonard Stern,4200000000,United States,real estate,680
Thomas Straumann,4200000000,Switzerland,dental implants,680
Wang Yanqing & family,4200000000,China,electrical equipment,680
Ken Xie,4200000000,United States,cybersecurity,680
Xue Hua,4200000000,China,agribusiness,680
Steven Meng Yang & family,4200000000,China,electronics,680
Margot Birmingham Perot,4100000000,United States,"computer services, real estate",705
David Bonderman,4100000000,United States,private equity,705
Matthew Calkins,4100000000,United States,software,705
Cho Tak Wong,4100000000,Hong Kong,auto parts,705
Piero Ferrari,4100000000,Italy,automobiles,705
Dan Friedkin,4100000000,United States,Toyota dealerships,705
Laurence Graff & family,4100000000,United Kingdom,diamond jewelry,705
Martin Haefner,4100000000,Switzerland,"software, investments",705
Hong Ra-hee,4100000000,South Korea,Samsung,705
Ji Qi,4100000000,China,"hotels, motels",705
"Rupert Johnson, Jr.",4100000000,United States,money management,705
Daniel Kretinsky,4100000000,Czechia,"energy, investments",705
William Lauder,4100000000,United States,Estee Lauder,705
Janice McNair,4100000000,United States,"energy, sports",705
John Morris,4100000000,United States,sporting goods retail,705
Gabe Newell,4100000000,United States,videogames,705
Katharina Otto-Bernstein,4100000000,Germany,real estate,705
Julio Ponce Lerou,4100000000,Chile,fertilizer,705
Jon Stryker,4100000000,United States,medical equipment,705
Suh Kyung-bae,4100000000,South Korea,cosmetics,705
Xu Jingren,4100000000,China,pharmaceuticals,705
Samuel Yin,4100000000,Taiwan,retail,705
Walter P.J. Droege,4000000000,Germany,investing,727
Du Jiangtao & family,4000000000,China,chemicals,727
Vinod & Anil Rai Gupta,4000000000,India,electrical equipment,727
Masatoshi Ito,4000000000,Japan,retail,727
Igor Kesaev,4000000000,Russia,"tobacco distribution, retail",727
Koon Poh Keong,4000000000,Malaysia,aluminum,727
Paul Xiaoming Lee & family,4000000000,United States,packaging,727
Li Xiang,4000000000,China,electric vehicles,727
Melissa Ma,4000000000,China,internet search,727
Kiran Mazumdar-Shaw,4000000000,India,biopharmaceuticals,727
Gwendolyn Sontheim Meyer,4000000000,United States,Cargill,727
Akira Mori & family,4000000000,Japan,real estate,727
Georg Nemetschek & family,4000000000,Germany,software,727
Masahiro Noda,4000000000,Japan,software,727
Ajay Piramal,4000000000,India,pharmaceuticals,727
Qiu Guanghe & family,4000000000,China,fashion retail,727
Trevor Rees-Jones,4000000000,United States,oil & gas,727
Ira Rennert,4000000000,United States,investments,727
Marc Rowan,4000000000,United States,private equity,727
Ugur Sahin,4000000000,Germany,biotechnology,727
Michal Solowow,4000000000,Poland,investments,727
Udo & Harald Tschira,4000000000,Germany,software,727
Wu Jianshu,4000000000,Hong Kong,auto parts,727
Ye Xiaoping,4000000000,China,pharmaceuticals,727
Zhou Hongyi,4000000000,China,security software,727
Che Jianxing,3900000000,China,furniture retailing,752
Beatriz Davila de Santo Domingo,3900000000,Colombia,beer,752
Rafael Del Pino,3900000000,Spain,construction,752
Du Weimin,3900000000,China,vaccines,752
Rakesh Gangwal,3900000000,United States,airline,752
Paul Gauselmann & family,3900000000,Germany,gambling,752
Jeff Greene,3900000000,United States,"real estate, investments",752
Johnelle Hunt,3900000000,United States,trucking,752
Jin Baofang,3900000000,China,solar energy,752
Kuan Kam Hon & family,3900000000,Malaysia,synthetic gloves,752
"Stephen Mandel, Jr.",3900000000,United States,hedge funds,752
Gilles Martin,3900000000,France,laboratory services,752
Masahiro Miki,3900000000,Japan,shoes,752
Dan Olsson,3900000000,Sweden,diversified,752
Robert Rowling,3900000000,United States,"hotels, investments",752
Erik Selin,3900000000,Sweden,real estate,752
Mark Shoen,3900000000,United States,U-Haul,752
Ben Silbermann,3900000000,United States,Pinterest,752
Maximilian Viessmann,3900000000,Germany,heating and cooling equipment,752
Wang Linpeng,3900000000,China,furniture retailing,752
Wu Zhigang & family,3900000000,China,bakery chain,752
Yi Zheng,3900000000,China,software,752
Zhang Wenzhong,3900000000,China,supermarkets,752
Euisun Chung,3800000000,South Korea,Hyundai,775
Daniel D'Aniello,3800000000,United States,private equity,775
Oleg Deripaska,3800000000,Russia,"aluminum, utilities",775
Sergey Dmitriev,3800000000,Russia,computer software,775
Feng Hailiang,3800000000,China,"copper, education",775
John Gandel,3800000000,Australia,shopping malls,775
Gao Dekang & family,3800000000,China,apparel,775
Jaime Gilinski Bacal,3800000000,Colombia,banking,775
Sergei Gordeev,3800000000,Russia,real estate,775
Jeff Green,3800000000,United States,online advertising,775
"Amos Hostetter, Jr.",3800000000,United States,cable television,775
Kuok Khoon Hong,3800000000,Singapore,palm oil,775
Lai Jianping,3800000000,China,soy sauce,775
Aerin Lauder,3800000000,United States,cosmetics,775
Hans Georg Naeder,3800000000,Germany,prosthetics,775
Maren Otto,3800000000,Germany,"retail, real estate",775
Clive Palmer,3800000000,Australia,mining,775
Karsanbhai Patel,3800000000,India,consumer goods,775
Qiu Jianping & family,3800000000,China,hand tools,775
Wolfgang Reimann,3800000000,Germany,consumer goods,775
Matthias Reimann-Andersen,3800000000,Germany,consumer goods,775
Stefan Reimann-Andersen,3800000000,Germany,consumer goods,775
Renate Reimann-Haas,3800000000,Germany,consumer goods,775
Dirk Rossmann & family,3800000000,Germany,drugstores,775
Shaul Shani,3800000000,Israel,telecom,775
Song Fei,3800000000,China,machinery,775
Donald Sterling,3800000000,United States,real estate,775
Ivar Tollefsen,3800000000,Norway,real estate,775
Don Vultaggio & family,3800000000,United States,beverages,775
Nusli Wadia,3800000000,India,consumer goods,775
Zhang Jin,3800000000,China,commodities,775
Zhu Gongshan,3800000000,China,solar panel materials,775
Peter Gilgan,3700000000,Canada,homebuilding,807
Marian Ilitch,3700000000,United States,Little Caesars,807
Kong Jian Min,3700000000,China,real estate,807
Li Liangbin,3700000000,China,lithium,807
Li Yongxin & family,3700000000,China,education,807
Mary Alice Dorrance Malone,3700000000,United States,Campbell Soup,807
Michael Milken,3700000000,United States,investments,807
Ronald Perelman,3700000000,United States,leveraged buyouts,807
Candido Pinheiro Koren de Lima,3700000000,Brazil,"hospitals, health insurance",807
J. Joe Ricketts & family,3700000000,United States,TD Ameritrade,807
Paolo & Gianfelice Mario Rocca,3700000000,Italy,pipe manufacturing,807
Jeff Rothschild,3700000000,United States,Facebook,807
David Rubenstein,3700000000,United States,private equity,807
Maria-Elisabeth Schaeffler-Thumann,3700000000,Germany,auto parts,807
Steven Spielberg,3700000000,United States,movies,807
Barry Sternlicht,3700000000,United States,private equity,807
Mark Stevens,3700000000,United States,venture capital,807
David Steward,3700000000,United States,IT provider,807
Vincent Viola,3700000000,United States,electronic trading,807
Todd Wanek,3700000000,United States,furniture,807
Wang Roger,3700000000,United States,retail,807
Russ Weiner,3700000000,United States,energy drinks,807
Herbert Wertheim,3700000000,United States,investments,807
Xu Shugen,3700000000,China,"construction, mining machinery",807
Anil Agarwal & family,3600000000,India,"mining, metals",831
Majid Al Futtaim & family,3600000000,United Arab Emirates,"real estate, retail",831
Leonid Boguslavsky,3600000000,Russia,venture capital,831
"Austen Cargill, II.",3600000000,United States,Cargill,831
"James Cargill, II.",3600000000,United States,Cargill,831
Chu Lam Yiu,3600000000,Hong Kong,flavorings,831
Steve Conine,3600000000,United States,online retail,831
Hu Kaijun,3600000000,China,pharmaceuticals,831
S. Curtis Johnson,3600000000,United States,cleaning products,831
Helen Johnson-Leipold,3600000000,United States,cleaning products,831
Daryl Katz,3600000000,Canada,pharmacies,831
Peter Kellogg,3600000000,United States,investments,831
Samuel Tak Lee,3600000000,Hong Kong,real estate,831
Li Hongxin & family,3600000000,China,paper & related products,831
Marianne Liebmann,3600000000,United States,Cargill,831
Winifred J. Marquart,3600000000,United States,cleaning products,831
Daniel Och,3600000000,United States,hedge funds,831
Anthony Pritzker,3600000000,United States,"hotels, investments",831
Rodger Riney & family,3600000000,United States,discount brokerage,831
Niraj Shah,3600000000,United States,online retail,831
Lynsi Snyder,3600000000,United States,In-N-Out Burger,831
Jerzy Starak,3600000000,Poland,pharmaceuticals,831
Michael Tojner,3600000000,Austria,"batteries, investments",831
Richard Tsai,3600000000,Taiwan,finance,831
Ty Warner,3600000000,United States,"real estate, plush toys",831
Yang Shaopeng,3600000000,China,shipping,831
Yuan Liping,3600000000,Canada,pharmaceuticals,831
Zhang Hongwei,3600000000,China,"oil, banking",831
Andrej Babis,3500000000,Czechia,agriculture,859
Shyam & Hari Bhartia,3500000000,India,diversified,859
Hubert Burda,3500000000,Germany,publishing,859
Chuchat Petaumpai & Daonapa Petampai,3500000000,Thailand,motorcycle loans,859
Charles Cohen,3500000000,United States,real estate,859
David Filo,3500000000,United States,Yahoo,859
Sergei Galitsky,3500000000,Russia,retail,859
Alessandra Garavoglia,3500000000,Italy,spirits,859
Franco Bittar Garcia,3500000000,Brazil,retailing,859
Martha Ingram & family,3500000000,United States,"book distribution, transportation",859
H. Fisk Johnson,3500000000,United States,cleaning products,859
Li Guoqiang,3500000000,China,auto dealerships,859
Lim Wee Chai,3500000000,Malaysia,rubber gloves,859
Liu Xiaodong,3500000000,China,flavorings,859
Daniel Loeb,3500000000,United States,hedge funds,859
Jim McKelvey,3500000000,United States,mobile payments,859
Apoorva Mehta,3500000000,Canada,grocery delivery service,859
N.R. Narayana Murthy,3500000000,India,software services,859
John Paulson,3500000000,United States,hedge funds,859
J.B. Pritzker,3500000000,United States,"hotels, investments",859
Michael Rubin,3500000000,United States,online retail,859
Arnout Schuijff,3500000000,Netherlands,payments software,859
Thomas Secunda,3500000000,United States,Bloomberg LP,859
Vivek Chaand Sehgal,3500000000,Australia,auto parts,859
E. Joe Shoen,3500000000,United States,U-Haul,859
Leena Tewari,3500000000,India,pharmaceuticals,859
Julia Thiele-Schuerhoff,3500000000,Germany,brakes,859
Romesh T. Wadhwani,3500000000,United States,software,859
Wu Shaoxun,3500000000,China,wine,859
Ye Guofu,3500000000,China,retail,859
Denise York & family,3500000000,United States,San Francisco 49ers,859
Zhou Jianping,3500000000,China,fashion retail,859
Mohed Altrad,3400000000,France,"scaffolding, cement mixers",891
Gayle Benson,3400000000,United States,pro sports teams,891
Francesco Gaetano Caltagirone,3400000000,Italy,"cement, diversified",891
"William Conway, Jr.",3400000000,United States,private equity,891
Jim Davis,3400000000,United States,staffing & recruiting,891
Deng Wen,3400000000,China,flavorings,891
Ennio Doris & family,3400000000,Italy,financial services,891
Bernard Ecclestone & family,3400000000,United Kingdom,Formula One,891
Alexander Frolov,3400000000,Russia,"mining, steel",891
Fiona Geminder,3400000000,Australia,manufacturing,891
Zarakh Iliev,3400000000,Russia,real estate,891
Viktor Kharitonin,3400000000,Russia,pharmaceuticals,891
Steven Klinsky,3400000000,United States,investments,891
Chris Larsen,3400000000,United States,cryptocurrency,891
Angela Leong,3400000000,Hong Kong,casinos,891
Margarita Louis-Dreyfus & family,3400000000,Switzerland,commodities,891
John Middleton,3400000000,United States,tobacco,891
Arnon Milchan,3400000000,Israel,movie making,891
Arturo Moreno,3400000000,United States,"billboards, Anaheim Angels",891
God Nisanov,3400000000,Russia,real estate,891
Benjamin Zhengmin Pan & family,3400000000,China,electronics,891
Jay Paul,3400000000,United States,real estate,891
Remo Ruffini,3400000000,Italy,winter jackets,891
Patrick Ryan,3400000000,United States,insurance,891
RJ Scaringe,3400000000,United States,electric vehicles,891
Lynn Schusterman,3400000000,United States,"oil & gas, investments",891
Eric Ya Shen,3400000000,China,online apparel retail,891
Daniel Tsai,3400000000,Taiwan,finance,891
Tung Chee Chen,3400000000,Hong Kong,shipping,891
Bulat Utemuratov,3400000000,Kazakhstan,"mining, banking, hotels",891
Frank VanderSloot,3400000000,United States,"nutrition, wellness products",891
Kelcy Warren,3400000000,United States,pipelines,891
Xu Yi,3400000000,China,Internet,891
Vladimir Yevtushenkov,3400000000,Russia,"telecom, investments",891
Somphote Ahunai,3300000000,Thailand,renewable energy,925
John Arnold,3300000000,United States,hedge funds,925
Neal Blue & family,3300000000,United States,defense,925
Alejandro Bulgheroni,3300000000,Argentina,oil & gas,925
Dong Jinggui,3300000000,China,electric scooters,925
Joseph Edelman,3300000000,United States,hedge funds,925
Charles Edelstenne,3300000000,France,aviation,925
Senapathy Gopalakrishnan,3300000000,India,software services,925
B. Wayne Hughes,3300000000,United States,self storage,925
Ravi Jaipuria,3300000000,India,"soft drinks, fast food",925
Samvel Karapetyan,3300000000,Russia,real estate,925
Vyacheslav Kim,3300000000,Kazakhstan,fintech,925
Jim Koch,3300000000,United States,beer,925
"Andre Koo, Sr.",3300000000,Taiwan,financial services,925
Yuri Kovalchuk,3300000000,Russia,"banking, insurance, media",925
Richard LeFrak & family,3300000000,United States,real estate,925
Kevin David Lehmann,3300000000,Germany,drugstores,925
Horst Paulmann & family,3300000000,Chile,retail,925
Jean (Gigi) Pritzker,3300000000,United States,"hotels, investments",925
Qi Xiangdong,3300000000,China,software,925
Renzo Rosso & family,3300000000,Italy,fashion,925
Stephen Rubin,3300000000,United Kingdom,sports apparel,925
"Bernard Saul, II.",3300000000,United States,"banking, real estate",925
Klaus-Peter Schulenberg,3300000000,Germany,ticketing service,925
Tahir & family,3300000000,Indonesia,diversified,925
Lucio Tan,3300000000,Philippines,diversified,925
Lottie Tham & family,3300000000,Sweden,H&M,925
Wang Wenxue,3300000000,China,real estate,925
Hans Peter Wild,3300000000,Switzerland,flavorings,925
"William Wrigley, Jr.",3300000000,United States,chewing gum,925
Zhang Xin & Pan Shiyi,3300000000,China,real estate,925
Giuliana Benetton,3200000000,Italy,"fashion retail, investments",956
Luciano Benetton,3200000000,Italy,"fashion retail, investments",956
Tomasz Biernacki,3200000000,Poland,supermarkets,956
Chey Tae-won,3200000000,South Korea,"oil, semiconductor",956
John Collison,3200000000,Ireland,payments software,956
Patrick Collison,3200000000,Ireland,payment software,956
Jack Cowin,3200000000,Australia,fast food,956
Archie Aldis Emmerson & family,3200000000,United States,"timberland, lumber mills",956
Yoichi & Keiko Erikawa,3200000000,Japan,videogames,956
Juan Carlos Escotet,3200000000,Venezuela,banking,956
Carlo Fidani,3200000000,Canada,real estate,956
Don Hankey,3200000000,United States,auto loans,956
Otto Happel,3200000000,Germany,engineering,956
He Zhaoxi,3200000000,China,software,956
Heidi Horten,3200000000,Austria,retail,956
Ke Zunhong & family,3200000000,China,pharmaceuticals,956
Thai Lee,3200000000,United States,IT provider,956
Mikhail Lomtadze,3200000000,Georgia,fintech,956
Ronald McAulay,3200000000,Hong Kong,energy,956
Maja Oeri,3200000000,Switzerland,Pharmaceuticals,956
James Packer,3200000000,Australia,casinos,956
John Sall,3200000000,United States,software,956
Naguib Sawiris,3200000000,Egypt,telecom,956
Zygmunt Solorz-Zak,3200000000,Poland,TV broadcasting,956
Lawrence Stroll,3200000000,Canada,fashion investments,956
Rita Tong Liu,3200000000,Hong Kong,real estate,956
Tsai Cheng-ta,3200000000,Taiwan,finance,956
Tsai Hong-tu,3200000000,Taiwan,finance,956
Steve Wynn,3200000000,United States,"casinos, hotels",956
Zhang Li,3200000000,China,real estate,956
Otto Philipp Braun,3100000000,Germany,medical technology,986
John Caudwell,3100000000,United Kingdom,mobile phones,986
Chi Yufeng,3100000000,China,software,986
Camilla de Godoy Bueno Grossi,3100000000,Brazil,medical labs,986
Antonio Del Valle Ruiz & family,3100000000,Mexico,chemicals,986
Martin Ebner,3100000000,Switzerland,investments,986
John Fisher,3100000000,United States,Gap,986
Jane Goldman,3100000000,United States,real estate,986
Gu Yuhua & family,3100000000,China,furniture,986
Hao Hong,3100000000,United States,pharmaceuticals,986
Hoi Kin Hong,3100000000,Macao,real estate,986
Jin Lei,3100000000,China,pharmaceuticals,986
Artem Khachatryan,3100000000,Russia,retail,986
Li Gaiteng,3100000000,China,hair dryers,986
Li Zhongchu,3100000000,China,software,986
Harald Link,3100000000,Thailand,diversified,986
Sergey Lomakin,3100000000,Russia,retail,986
Nie Tengyun & family,3100000000,China,logistics,986
Prasert Prasarttong-Osoth,3100000000,Thailand,hospitals,986
Penny Pritzker,3100000000,United States,"hotels, investments",986
Herb Simon,3100000000,United States,real estate,986
Jerry Speyer,3100000000,United States,real estate,986
Wilhelm Beier & family,3000000000,Germany,pharmaceuticals,1008
Koos Bekker,3000000000,South Africa,"media, investments",1008
Ben Chestnut,3000000000,United States,email marketing,1008
John Coates,3000000000,United Kingdom,online gambling,1008
Pedro de Godoy Bueno,3000000000,Brazil,health insurance,1008
Carl Douglas,3000000000,Sweden,investments,1008
Eric Douglas,3000000000,Sweden,investments,1008
Behdad Eghbali,3000000000,United States,private equity,1008
Jose E. Feliciano,3000000000,United States,private equity,1008
Philippe Foriel-Destezet,3000000000,France,employment agency,1008
Gan Zhongru,3000000000,China,pharmaceuticals,1008
Allan Goldman,3000000000,United States,real estate,1008
Amy Goldman Fowler,3000000000,United States,real estate,1008
Alec Gores,3000000000,United States,private equity,1008
Peter Grogg,3000000000,Switzerland,biochemicals,1008
Jimmy Haslam,3000000000,United States,"gas stations, retail",1008
Christian Haub,3000000000,Germany,retail,1008
Gudrun Heine,3000000000,Germany,medical devices,1008
Huang Jinfeng,3000000000,China,e-commerce,1008
Huang Rulun,3000000000,China,real estate,1008
James Irsay,3000000000,United States,Indianapolis Colts,1008
Justin Ishbia,3000000000,United States,★,1008
Diane Kemper,3000000000,United States,real estate,1008
George Kurtz,3000000000,United States,security software,1008
Dan Kurzius,3000000000,United States,email marketing,1008
Kwek Leng Beng,3000000000,Singapore,diversified,1008
Geoffrey Kwok,3000000000,Hong Kong,real estate,1008
Sheldon Lavin,3000000000,United States,meat processing,1008
Louis Le Duff,3000000000,France,bakeries,1008
James Leprino,3000000000,United States,cheese,1008
Joseph Liemandt,3000000000,United States,software,1008
Peter Lim,3000000000,Singapore,investments,1008
Jeffrey Lurie,3000000000,United States,Philadelphia Eagles,1008
Tom Morris,3000000000,United Kingdom,retail,1008
Or Wai Sheun,3000000000,Hong Kong,real estate,1008
P.V. Ramprasad Reddy,3000000000,India,pharmaceuticals,1008
Haim Saban,3000000000,United States,"TV network, investments",1008
Ferit Faik Sahenk,3000000000,Turkey,diversified,1008
Eddy Kusnadi Sariaatmadja,3000000000,Indonesia,"media, tech",1008
Gil Shwed,3000000000,Israel,software,1008
Song Zuowen,3000000000,China,"aluminum, diversified",1008
Friede Springer,3000000000,Germany,publishing,1008
Sybill Storz,3000000000,Germany,medical devices,1008
Pat Stryker,3000000000,United States,medical equipment,1008
Hans Sy,3000000000,Philippines,diversified,1008
Herbert Sy,3000000000,Philippines,diversified,1008
Andrew Tan,3000000000,Philippines,diversified,1008
Tian Ming,3000000000,China,measuring instruments,1008
Wang Changtian,3000000000,China,"TV, movie production",1008
Richard White,3000000000,Australia,software,1008
Cameron Winklevoss,3000000000,United States,cryptocurrency,1008
Tyler Winklevoss,3000000000,United States,cryptocurrency,1008
Xia Zuoquan,3000000000,China,automobiles,1008
Yin Xin,3000000000,China,video streaming app,1008
Zhang Lei,3000000000,China,investments,1008
Zhu Xingming,3000000000,China,electrical equipment,1008
Juan Abello,2900000000,Spain,investments,1064
Ben Ashkenazy,2900000000,United States,real estate,1064
Sid Bass,2900000000,United States,"oil, investments",1064
Joesley Batista,2900000000,Brazil,beef processing,1064
Wesley Batista,2900000000,Brazil,beef packing,1064
Riley Bechtel & family,2900000000,United States,"engineering, construction",1064
Sanjeev Bikhchandani,2900000000,India,Internet,1064
Cao Ji,2900000000,China,manufacturing,1064
Chen Kaixuan,2900000000,China,household chemicals,1064
Bennett Dorrance,2900000000,United States,Campbell Soup,1064
Marcel Erni,2900000000,Switzerland,private equity,1064
Walter Faria,2900000000,Brazil,beer,1064
Fu Guangming & family,2900000000,China,poultry,1064
Bob Gaglardi,2900000000,Canada,hotels,1064
Alfred Gantner,2900000000,Switzerland,private equity,1064
Maggie Hardy Knox,2900000000,United States,building materials,1064
